distance_km,traffic_ratio,weather_severity,vehicle_load,driver_fatigue,historical_delay,hub_congestion,product_type,priority,road_quality,temperature_celsius,precipitation_mm,wind_speed_kmh,is_peak_hour,active_incidents,vehicle_type_risk,actual_delay_minutes
105.5,2.34,0.18,0.91,0.44,9.76,3.5,general,high,0.59,31.5,13.3,8.4,0,0,1.0,25.68
212.2,1.83,0.32,0.46,0.13,3.13,5.54,furniture,high,0.8,27.4,17.4,15.1,0,1,1.0,32.33
114.23,1.59,0.05,0.86,0.18,6.76,1.65,furniture,high,0.74,32.4,3.2,2.7,0,0,1.0,13.04
76.15,2.61,0.6,0.84,0.36,1.18,0.67,furniture,low,0.89,29.0,38.6,29.8,1,0,1.0,36.28
132.04,1.54,0.47,0.3,0.32,2.96,7.84,hazmat,standard,0.84,33.2,23.9,22.7,0,0,1.4,28.46
43.89,1.42,0.43,0.14,0.33,0.49,3.88,medicine,standard,0.74,31.4,28.2,18.7,1,2,1.2,27.25
219.38,1.06,0.32,0.93,0.47,2.48,0.11,luxury,high,0.68,27.7,20.3,17.4,0,2,1.0,8.47
271.09,2.17,0.19,0.99,0.22,19.38,10.85,general,low,0.91,34.4,13.7,8.9,0,0,1.0,43.54
216.87,1.25,0.52,0.64,0.45,2.63,2.67,luxury,critical,0.85,34.7,34.2,23.5,0,1,1.0,14.84
198.48,1.69,0.08,0.41,0.24,11.21,4.53,perishable,critical,0.87,30.3,5.4,2.8,1,1,1.2,19.48
200.36,2.1,0.22,0.7,0.25,14.88,1.97,medicine,critical,0.74,33.5,15.0,11.9,0,0,1.2,31.51
118.34,2.14,0.42,0.15,0.4,17.06,10.0,medicine,standard,0.8,31.4,29.2,21.0,0,2,1.2,34.85
197.62,3.08,0.05,0.78,0.13,2.87,8.76,furniture,standard,0.81,25.7,3.6,3.0,1,0,1.0,68.25
96.77,1.11,0.72,0.29,0.61,15.03,3.87,medicine,high,0.98,30.3,52.7,26.4,1,0,1.2,25.8
120.62,1.64,0.27,0.19,0.21,7.27,5.59,perishable,low,0.82,34.1,19.9,15.4,1,2,1.2,29.35
189.58,1.74,0.78,0.91,0.39,2.22,0.98,general,high,0.69,28.0,57.3,33.2,0,0,1.0,29.18
123.09,1.55,0.41,0.6,0.22,3.9,3.69,medicine,critical,0.64,33.8,21.5,14.4,1,0,1.2,11.66
141.48,1.3,0.32,0.54,0.25,8.01,1.09,hazmat,standard,0.62,32.6,15.9,14.3,1,1,1.4,20.72
105.2,1.31,0.4,0.66,0.41,2.71,2.82,general,high,0.85,35.8,31.3,23.1,0,2,1.0,11.79
215.32,1.53,0.45,1.0,0.44,0.52,4.12,medicine,high,0.98,31.0,24.7,26.5,0,0,1.2,22.62
156.16,2.03,0.56,0.27,0.24,14.56,1.71,general,high,0.97,33.3,37.9,22.6,0,1,1.0,29.16
221.68,1.59,0.39,0.29,0.31,2.83,1.57,furniture,low,0.88,28.5,21.8,23.0,1,0,1.0,26.99
62.36,1.15,0.07,0.74,0.15,4.49,1.81,perishable,standard,0.92,33.8,5.4,4.0,0,0,1.2,6.14
92.88,1.61,0.25,0.84,0.37,4.36,3.18,perishable,critical,0.63,35.6,17.1,10.7,0,0,1.2,18.93
167.6,1.75,0.14,0.94,0.44,10.13,0.7,general,standard,0.87,33.6,7.8,6.4,0,2,1.0,21.37
217.66,1.59,0.13,0.82,0.02,1.5,8.22,perishable,standard,0.9,31.4,10.1,5.5,0,0,1.2,27.38
118.07,2.67,0.19,0.57,0.65,4.3,0.59,hazmat,standard,0.85,26.4,13.2,7.0,0,1,1.4,51.84
259.53,1.35,0.04,0.74,0.21,10.75,14.53,perishable,standard,0.81,27.6,2.6,2.2,0,0,1.2,21.5
66.37,1.46,0.36,0.58,0.48,8.14,23.46,furniture,high,0.99,33.0,18.5,12.9,0,0,1.0,9.98
142.86,2.21,0.53,0.69,0.6,4.29,1.75,perishable,standard,0.6,28.6,33.7,24.1,0,0,1.2,36.38
236.67,2.29,0.51,0.17,0.17,7.08,4.03,hazmat,standard,0.87,29.1,27.3,19.3,0,0,1.4,64.22
261.28,2.66,0.18,0.68,0.71,0.82,0.23,perishable,high,0.79,31.1,13.3,9.2,0,1,1.2,73.98
132.61,2.49,0.5,0.39,0.18,1.55,2.96,perishable,standard,0.87,27.0,35.8,18.0,1,2,1.2,49.04
40.85,1.18,0.14,0.58,0.61,5.49,2.97,perishable,standard,0.77,28.0,10.9,6.0,0,0,1.2,6.55
125.06,1.71,0.08,0.22,0.44,4.13,1.48,furniture,standard,0.94,26.5,5.7,4.2,1,0,1.0,12.06
71.25,1.15,0.48,0.59,0.32,1.48,0.06,furniture,critical,0.83,31.5,32.6,25.8,0,2,1.0,11.96
141.36,1.44,0.73,0.7,0.45,0.26,0.42,furniture,high,0.88,30.9,51.9,41.0,0,0,1.0,12.7
149.6,1.34,0.45,0.28,0.07,10.72,2.94,perishable,critical,0.85,27.7,25.2,16.7,1,0,1.2,17.45
97.66,1.65,0.18,0.19,0.42,0.21,2.22,perishable,standard,0.69,30.0,11.5,7.4,1,1,1.2,15.21
187.72,1.19,0.43,0.44,0.54,0.28,6.92,furniture,high,0.73,34.4,29.7,25.3,0,1,1.0,13.82
192.35,1.25,0.38,0.51,0.25,0.64,9.47,perishable,standard,0.8,35.6,19.6,13.3,0,0,1.2,14.44
176.86,2.33,0.15,0.68,0.22,0.04,4.47,general,high,0.94,29.3,10.8,5.9,0,2,1.0,31.3
170.8,1.23,0.61,0.26,0.29,3.99,3.13,furniture,standard,0.83,30.6,37.0,24.3,1,0,1.0,24.88
128.47,1.19,0.52,0.52,0.19,6.35,7.02,furniture,standard,0.67,28.6,30.7,26.9,0,1,1.0,15.2
123.6,1.24,0.33,0.92,0.34,0.27,1.16,furniture,critical,0.87,25.9,22.8,14.7,0,1,1.0,10.1
115.24,2.61,0.31,0.47,0.3,0.53,6.66,general,critical,0.74,28.5,23.7,15.3,1,0,1.0,25.38
142.34,1.66,0.49,0.26,0.45,1.22,2.01,medicine,standard,0.8,30.0,28.5,18.6,1,1,1.2,30.08
86.04,1.17,0.4,0.86,0.3,0.54,0.48,furniture,critical,0.79,27.7,28.4,22.9,0,2,1.0,4.76
193.22,1.68,0.5,0.48,0.45,7.65,5.88,perishable,high,0.78,27.7,35.6,24.7,0,0,1.2,29.16
160.5,2.18,0.0,0.67,0.29,3.37,1.21,furniture,standard,0.83,34.8,0.0,0.0,0,1,1.0,37.55
105.75,2.21,0.26,0.89,0.49,6.97,2.72,medicine,high,0.75,26.1,19.2,11.4,0,0,1.2,27.03
72.33,1.48,0.27,0.66,0.22,4.28,3.9,furniture,standard,0.81,27.1,18.1,12.0,0,1,1.0,15.81
44.06,1.57,0.09,0.86,0.53,9.53,5.26,hazmat,standard,0.74,29.7,7.2,4.2,0,0,1.4,8.55
118.42,1.93,0.54,0.69,0.25,0.61,2.72,general,high,0.69,29.2,35.3,27.9,1,1,1.0,33.2
112.64,1.7,0.14,0.83,0.32,4.99,2.49,luxury,standard,0.72,25.2,9.1,5.3,1,0,1.0,15.07
243.04,2.03,0.29,0.51,0.32,5.67,3.42,general,high,0.7,30.6,14.4,16.1,0,0,1.0,33.67
79.83,1.14,0.43,0.98,0.2,4.49,8.04,hazmat,standard,0.76,30.9,31.7,17.1,1,3,1.4,37.79
96.15,2.77,0.56,0.59,0.52,1.91,12.15,general,standard,0.91,27.3,44.2,22.4,1,0,1.0,43.88
34.54,1.19,0.58,0.71,0.29,0.4,4.13,perishable,standard,0.68,35.2,38.2,24.9,0,0,1.2,16.94
166.21,2.43,0.3,0.27,0.33,3.08,1.09,hazmat,high,0.89,28.9,17.8,17.1,0,1,1.4,47.17
96.34,2.11,0.38,0.47,0.32,1.32,7.57,perishable,low,0.74,26.9,22.9,22.8,1,1,1.2,28.33
168.57,1.65,0.17,0.52,0.28,0.57,2.93,furniture,high,0.93,30.1,13.3,9.1,0,0,1.0,12.51
132.7,2.09,0.05,0.84,0.23,1.59,19.99,medicine,high,0.86,31.3,3.5,2.5,0,1,1.2,25.56
189.75,1.92,0.27,0.8,0.36,6.11,0.9,hazmat,low,0.6,29.2,21.0,11.8,0,0,1.4,46.68
217.44,1.64,0.7,0.59,0.3,2.25,0.8,perishable,critical,0.66,24.5,48.7,27.0,0,1,1.2,29.49
95.35,1.67,0.5,0.82,0.45,1.38,19.45,medicine,high,0.82,31.2,30.6,25.5,0,1,1.2,18.87
158.74,2.09,0.17,0.83,0.41,1.31,8.41,hazmat,standard,0.64,31.9,10.6,7.4,0,0,1.4,33.06
102.08,2.05,0.15,0.69,0.18,5.55,25.0,perishable,standard,0.91,28.9,9.9,7.8,0,0,1.2,19.85
253.44,1.37,0.25,0.95,0.45,3.08,2.75,perishable,low,0.91,30.1,16.9,12.3,1,2,1.2,28.54
175.61,2.48,0.39,0.87,0.43,1.95,11.02,general,low,0.87,25.2,26.6,14.7,0,0,1.0,52.53
85.51,1.24,0.32,0.3,0.59,6.97,8.84,hazmat,low,0.75,33.0,20.2,16.9,0,1,1.4,19.38
140.31,1.63,0.4,0.41,0.77,0.67,4.72,furniture,high,0.87,32.7,20.1,15.7,0,0,1.0,21.11
112.19,1.33,0.12,0.21,0.08,5.47,0.13,hazmat,low,0.89,28.8,8.2,5.9,0,0,1.4,11.94
260.39,1.3,0.49,0.48,0.14,11.76,6.12,general,standard,0.99,31.6,31.8,26.1,0,0,1.0,16.8
53.48,1.44,0.46,0.41,0.37,5.14,3.13,perishable,low,0.98,34.7,32.3,24.5,0,0,1.2,15.77
168.64,1.13,0.33,0.81,0.32,8.98,0.46,perishable,critical,0.81,33.8,23.7,16.5,0,1,1.2,12.11
185.42,1.09,0.33,0.82,0.34,0.99,1.81,general,critical,0.78,31.9,19.6,17.1,0,0,1.0,0.44
218.84,2.51,0.47,0.51,0.22,3.79,0.31,general,critical,0.8,28.8,27.0,20.2,0,0,1.0,43.8
32.87,1.94,0.33,0.56,0.22,1.45,1.05,furniture,standard,0.86,30.1,17.7,17.6,1,1,1.0,14.33
216.58,1.24,0.41,0.89,0.08,2.46,5.47,perishable,standard,0.69,30.5,26.9,16.4,0,0,1.2,14.95
143.03,1.85,0.39,0.58,0.22,4.62,0.38,hazmat,standard,0.83,33.2,19.9,19.2,1,2,1.4,44.19
56.26,1.54,0.4,0.94,0.46,0.93,2.53,general,standard,0.89,32.8,31.9,20.6,1,0,1.0,24.12
92.25,1.36,0.39,0.85,0.27,7.02,0.91,medicine,standard,0.8,30.6,20.4,15.8,0,0,1.2,11.26
154.41,1.62,0.12,0.51,0.31,1.96,0.13,general,low,0.79,27.0,7.4,6.0,0,1,1.0,19.89
162.55,1.89,0.23,0.94,0.08,3.0,6.2,perishable,standard,0.81,32.1,11.7,10.0,1,1,1.2,27.01
143.69,1.01,0.37,0.81,0.14,4.4,2.09,furniture,high,0.64,33.0,29.0,17.8,1,2,1.0,21.74
191.85,2.23,0.19,0.96,0.41,3.99,0.4,hazmat,critical,0.89,36.5,10.8,7.4,1,0,1.4,31.43
170.84,1.53,0.48,0.29,0.31,7.57,1.01,medicine,standard,0.85,29.0,38.3,28.5,1,1,1.2,35.58
249.51,1.24,0.5,0.72,0.42,0.97,2.33,luxury,high,0.83,33.9,39.1,23.0,0,0,1.0,12.72
137.78,1.88,0.58,0.93,0.29,3.76,1.86,general,high,0.83,27.5,38.1,34.5,0,0,1.0,30.32
235.78,2.28,0.49,0.1,0.29,3.25,5.62,perishable,high,0.83,30.0,38.9,21.7,1,0,1.2,60.63
75.73,1.4,0.47,0.19,0.18,1.81,1.42,perishable,high,0.82,30.1,27.6,23.0,1,2,1.2,26.68
89.38,2.03,0.43,0.21,0.18,2.9,0.96,general,standard,0.81,29.4,29.5,17.4,1,0,1.0,24.97
96.11,1.09,0.36,0.47,0.52,9.35,2.42,perishable,high,0.92,33.2,20.0,19.9,1,1,1.2,15.67
235.27,2.4,0.3,0.89,0.52,19.72,0.04,medicine,high,0.97,28.4,22.8,17.0,1,0,1.2,70.64
62.32,1.57,0.11,0.53,0.02,1.98,10.03,perishable,high,0.67,33.7,7.4,5.2,1,0,1.2,10.92
124.87,2.83,0.13,0.17,0.42,3.35,5.28,general,high,0.93,30.2,10.1,7.6,1,0,1.0,29.44
10.67,1.45,0.73,0.3,0.32,0.73,2.38,general,critical,0.75,26.0,49.6,41.9,0,0,1.0,12.43
130.05,1.32,0.19,0.41,0.38,4.75,8.11,general,critical,0.92,30.2,13.0,8.3,0,0,1.0,5.46
104.63,1.37,0.23,0.89,0.32,9.39,0.39,perishable,low,0.85,30.6,16.6,13.5,1,1,1.2,15.72
23.72,1.58,0.57,0.28,0.49,14.96,0.64,perishable,low,0.78,28.6,28.9,23.9,0,0,1.2,18.65
185.47,1.23,0.27,0.73,0.18,2.85,2.98,medicine,low,0.87,31.8,17.1,14.3,0,0,1.2,12.86
192.52,2.62,0.18,0.86,0.27,11.68,0.31,perishable,standard,0.61,28.4,10.1,9.3,0,1,1.2,56.81
144.9,1.78,0.14,0.56,0.65,0.16,1.16,perishable,standard,0.71,27.6,11.0,5.1,0,0,1.2,15.81
47.7,1.33,0.38,0.65,0.62,7.56,6.38,furniture,standard,0.75,34.1,29.4,18.7,0,2,1.0,17.79
181.67,2.5,0.21,0.59,0.58,3.32,8.61,general,critical,0.73,26.8,15.5,9.8,0,0,1.0,35.01
162.74,1.06,0.34,0.79,0.2,19.39,5.43,general,critical,0.85,26.4,26.4,17.5,0,0,1.0,11.65
122.63,2.02,0.68,0.57,0.21,1.6,0.82,medicine,high,0.9,31.1,52.0,29.0,0,0,1.2,26.8
216.41,1.09,0.12,0.95,0.47,0.42,3.84,luxury,critical,0.94,27.4,8.0,4.7,1,0,1.0,3.78
97.88,1.38,0.63,0.88,0.24,4.82,3.71,general,critical,0.77,32.8,49.8,37.4,0,1,1.0,12.43
113.68,2.39,0.4,0.77,0.09,2.69,3.11,perishable,low,0.91,28.8,26.1,21.8,0,0,1.2,38.52
168.48,1.7,0.53,0.4,0.33,3.81,0.4,luxury,high,0.85,29.1,42.4,29.1,0,0,1.0,13.64
173.5,1.4,0.07,0.64,0.36,0.7,1.06,hazmat,high,0.89,28.5,5.6,3.6,0,0,1.4,18.57
138.96,2.11,0.41,0.22,0.37,7.23,1.82,general,critical,0.8,28.8,32.1,19.2,1,0,1.0,26.95
216.85,1.39,0.59,0.46,0.61,1.39,6.74,luxury,critical,0.91,26.7,35.2,23.0,1,0,1.0,21.19
31.15,1.64,0.79,0.59,0.2,1.32,1.86,hazmat,high,0.67,32.7,46.6,31.2,0,0,1.4,22.72
292.8,1.8,0.37,0.41,0.2,1.65,0.09,general,standard,0.96,27.4,23.3,18.8,1,1,1.0,28.7
282.85,1.78,0.4,0.18,0.71,0.95,0.62,luxury,standard,0.9,32.5,21.9,22.1,1,0,1.0,29.04
194.96,2.15,0.24,0.38,0.32,2.41,3.74,general,high,0.69,33.6,12.6,12.8,1,0,1.0,38.02
174.14,1.53,0.48,0.93,0.17,0.55,0.51,luxury,standard,0.66,28.5,33.9,23.0,0,0,1.0,11.79
132.14,1.24,0.61,0.65,0.19,0.76,2.86,perishable,high,0.85,31.3,37.9,34.0,0,0,1.2,11.14
68.17,1.29,0.21,0.28,0.25,3.55,7.8,luxury,high,0.67,33.9,14.3,11.4,1,0,1.0,8.59
219.81,2.16,0.37,0.82,0.31,2.49,6.91,general,standard,0.9,23.0,21.6,20.0,1,1,1.0,36.77
81.16,1.14,0.56,0.92,0.55,0.74,2.2,perishable,high,0.76,30.1,33.3,28.0,0,1,1.2,15.29
70.95,1.91,0.65,0.6,0.66,1.24,0.14,perishable,standard,0.82,25.0,45.7,34.4,0,0,1.2,26.59
279.46,1.23,0.2,0.49,0.28,4.65,1.3,hazmat,standard,0.95,24.3,11.5,8.4,1,1,1.4,19.75
54.01,1.6,0.13,0.42,0.44,4.44,4.7,perishable,standard,0.76,24.8,7.0,5.4,1,0,1.2,15.69
79.86,1.17,0.43,0.25,0.07,0.84,0.76,furniture,standard,0.83,29.9,33.5,17.8,0,2,1.0,9.31
160.07,2.48,0.49,0.15,0.61,0.59,5.57,luxury,standard,0.83,27.0,35.4,22.2,0,0,1.0,38.1
109.17,1.18,0.28,0.29,0.58,2.31,0.18,hazmat,low,0.8,28.8,15.1,13.7,0,0,1.4,11.61
207.23,2.82,0.24,0.54,0.33,1.44,0.01,general,critical,0.78,31.1,13.4,11.3,0,0,1.0,44.66
107.35,2.02,0.14,0.15,0.27,1.38,2.57,perishable,high,0.75,28.6,8.3,6.3,1,0,1.2,24.06
87.72,2.03,0.36,0.98,0.62,6.08,10.93,hazmat,low,0.78,28.5,23.1,17.0,1,0,1.4,38.4
33.71,1.24,0.24,0.73,0.44,1.84,2.43,general,critical,0.66,29.8,12.4,8.5,1,0,1.0,4.99
194.5,1.89,0.2,0.41,0.68,1.41,0.19,general,critical,0.67,30.5,11.1,10.0,1,0,1.0,19.52
253.83,2.13,0.38,0.49,0.65,1.03,0.61,medicine,standard,0.81,33.5,18.8,20.8,0,0,1.2,53.37
186.87,1.53,0.53,0.99,0.48,6.19,5.21,hazmat,low,0.87,30.5,35.9,28.4,0,0,1.4,42.63
236.78,1.45,0.56,0.42,0.55,0.19,0.15,medicine,high,0.88,34.9,42.1,24.8,1,1,1.2,43.74
24.8,1.91,0.65,0.24,0.38,1.49,3.95,hazmat,high,0.83,30.3,35.5,32.1,0,1,1.4,30.9
158.2,1.57,0.44,0.49,0.17,6.98,12.42,medicine,high,0.88,30.7,33.8,25.4,0,0,1.2,26.1
110.19,2.46,0.13,0.28,0.38,23.15,7.84,perishable,high,0.63,27.7,8.0,4.9,0,1,1.2,50.02
236.06,1.55,0.95,0.63,0.17,0.21,3.23,perishable,standard,0.71,32.2,56.1,40.6,0,2,1.2,37.66
330.79,1.81,0.46,0.44,0.08,3.13,0.71,perishable,high,0.82,32.0,25.7,26.7,0,1,1.2,28.9
51.03,2.1,0.46,0.34,0.32,7.42,2.38,hazmat,low,0.9,31.5,36.7,19.5,0,0,1.4,29.5
160.98,1.94,0.51,0.36,0.23,3.21,2.97,general,standard,0.6,33.0,29.0,21.1,1,0,1.0,40.78
250.5,1.77,0.66,0.97,0.31,8.93,5.36,medicine,standard,0.65,26.7,40.0,37.1,0,2,1.2,62.7
21.75,1.29,0.03,0.44,0.52,5.67,8.79,general,high,0.94,25.3,1.6,1.4,0,1,1.0,4.48
68.82,1.54,0.4,0.94,0.42,4.88,5.26,furniture,high,0.89,32.0,31.8,23.4,0,0,1.0,13.01
239.55,1.48,0.33,0.6,0.28,0.07,1.5,general,standard,0.91,35.7,16.6,11.8,0,0,1.0,29.65
270.4,2.73,0.43,0.61,0.56,2.4,4.27,hazmat,critical,0.7,31.5,26.1,22.6,0,4,1.4,98.55
41.86,1.29,0.61,0.18,0.05,0.77,9.17,perishable,critical,0.7,30.1,33.7,32.8,0,2,1.2,16.05
191.58,1.44,0.49,0.98,0.13,7.61,9.85,perishable,standard,0.78,25.7,28.9,29.1,1,0,1.2,33.3
110.58,1.58,0.28,0.57,0.1,6.44,2.37,general,high,0.56,28.8,15.0,10.9,1,1,1.0,14.97
85.22,2.69,0.21,0.87,0.53,0.8,10.3,perishable,low,0.83,30.9,12.1,7.8,1,0,1.2,33.39
203.18,1.76,0.15,0.72,0.09,0.36,5.08,hazmat,low,0.81,27.9,8.9,6.0,0,2,1.4,43.57
55.98,1.11,0.29,0.54,0.13,4.03,2.41,furniture,standard,0.74,28.0,16.7,10.3,1,2,1.0,9.68
58.62,1.65,0.22,0.72,0.57,2.96,1.45,general,critical,0.87,27.4,14.9,11.5,1,0,1.0,4.68
136.6,1.88,0.37,0.2,0.57,9.77,8.87,perishable,standard,0.65,31.8,23.0,21.1,0,0,1.2,32.65
159.31,1.13,0.38,0.15,0.18,3.29,8.71,perishable,standard,0.81,29.5,21.8,19.8,0,0,1.2,10.19
256.6,2.57,0.27,0.42,0.13,1.24,1.19,general,standard,0.72,25.6,17.7,14.4,1,0,1.0,49.03
89.54,1.4,0.32,0.27,0.08,0.02,0.63,hazmat,standard,0.85,30.0,18.6,15.1,0,0,1.4,9.81
78.67,1.17,0.72,0.9,0.39,8.71,3.72,general,high,0.86,25.5,50.1,35.8,1,0,1.0,18.27
106.08,1.41,0.3,0.37,0.05,12.45,3.81,general,critical,0.89,28.1,22.8,15.4,1,0,1.0,10.94
101.98,2.26,0.62,0.7,0.49,1.85,0.66,luxury,standard,0.69,34.9,47.5,27.1,0,2,1.0,36.14
201.92,2.4,0.68,0.92,0.21,3.29,6.96,perishable,standard,0.81,31.5,36.5,29.2,0,0,1.2,52.29
149.7,1.47,0.17,0.16,0.23,3.17,3.2,luxury,standard,0.88,31.3,8.7,7.0,0,0,1.0,15.01
53.5,2.65,0.05,0.74,0.13,3.4,5.38,general,high,0.8,33.0,3.6,2.7,0,0,1.0,18.1
166.09,1.48,0.49,0.11,0.67,7.57,15.68,perishable,standard,0.86,25.4,38.2,18.4,0,0,1.2,26.98
60.56,2.45,0.58,0.87,0.14,13.52,2.72,perishable,standard,0.71,29.8,38.1,29.6,0,1,1.2,33.26
192.98,1.68,0.69,0.99,0.44,2.03,5.18,medicine,low,0.87,35.9,35.4,27.4,0,1,1.2,40.87
24.62,1.74,0.23,0.31,0.52,2.57,3.99,general,high,0.75,31.5,16.2,13.5,1,1,1.0,14.03
240.81,1.29,0.73,0.25,0.31,0.75,1.98,general,high,0.74,26.1,38.9,26.1,0,1,1.0,19.14
63.12,2.39,0.38,0.55,0.35,12.36,2.58,medicine,standard,0.74,34.7,23.7,21.8,0,0,1.2,25.87
194.16,1.6,0.57,0.96,0.43,0.73,2.56,perishable,standard,0.87,29.7,40.2,21.3,0,2,1.2,32.16
197.6,2.59,0.54,0.37,0.22,19.18,0.32,perishable,standard,0.76,29.7,41.1,26.8,0,0,1.2,60.16
69.95,2.11,0.22,0.39,0.13,5.43,2.75,general,high,0.79,29.1,14.4,12.6,0,0,1.0,16.7
181.72,1.09,0.5,0.66,0.26,0.76,8.68,medicine,high,0.75,24.7,29.6,19.2,0,0,1.2,9.58
194.18,1.92,0.23,0.74,0.3,3.4,8.16,perishable,low,0.71,30.7,14.9,9.0,0,0,1.2,44.87
94.03,1.83,0.26,0.59,0.54,1.81,0.08,furniture,standard,0.92,26.0,14.1,15.4,0,0,1.0,16.56
232.09,1.67,0.38,0.3,0.34,2.89,3.7,perishable,standard,0.73,27.1,24.2,21.7,0,2,1.2,46.84
124.86,1.16,0.11,0.91,0.27,2.02,0.55,hazmat,high,0.81,33.4,7.5,4.4,1,0,1.4,9.97
44.0,1.67,0.72,0.57,0.43,6.22,8.8,luxury,standard,0.63,33.5,41.5,27.5,0,0,1.0,12.78
85.64,1.69,0.28,0.95,0.25,15.61,0.62,luxury,standard,0.56,33.5,17.4,13.0,1,1,1.0,19.07
109.98,1.56,0.2,0.53,0.51,1.71,14.22,general,high,0.77,31.8,15.7,7.6,1,0,1.0,17.27
68.86,1.29,0.52,0.22,0.24,0.29,10.89,luxury,high,0.71,31.4,25.8,27.8,1,0,1.0,18.1
46.76,1.06,0.23,0.43,0.15,0.51,1.83,furniture,standard,0.84,28.1,17.5,8.8,0,3,1.0,16.88
95.94,1.99,0.08,0.59,0.36,7.1,0.51,luxury,high,0.78,35.8,6.0,4.2,0,0,1.0,12.57
177.5,1.22,0.06,0.27,0.04,2.02,0.56,general,standard,0.92,29.1,3.6,3.0,1,0,1.0,4.13
176.52,1.12,0.55,0.47,0.27,0.96,11.4,general,standard,0.85,24.1,32.1,32.0,1,1,1.0,10.64
80.39,1.75,0.18,0.2,0.71,10.35,5.42,perishable,high,0.87,26.4,12.8,8.8,0,0,1.2,19.84
58.14,1.19,0.78,0.9,0.18,0.56,8.01,perishable,high,0.83,28.8,60.1,46.2,0,1,1.2,19.23
96.35,1.13,0.41,0.96,0.49,9.4,0.39,medicine,low,0.72,26.9,20.7,23.9,0,0,1.2,12.04
143.66,1.55,0.54,0.51,0.41,5.49,12.32,medicine,high,0.75,32.1,35.4,28.7,0,0,1.2,33.07
51.88,1.38,0.24,0.91,0.58,0.26,3.38,hazmat,standard,0.68,32.7,13.8,13.6,0,1,1.4,17.53
114.41,1.41,0.43,0.26,0.15,4.83,5.97,luxury,low,0.83,25.9,23.0,22.2,1,1,1.0,19.77
132.84,1.89,0.19,0.16,0.03,2.65,5.83,furniture,standard,0.89,35.6,12.2,7.4,1,0,1.0,17.84
148.99,1.87,0.65,0.39,0.06,2.87,10.54,hazmat,high,0.72,29.0,34.0,32.0,0,3,1.4,46.9
133.22,2.62,0.62,0.31,0.37,0.89,0.63,medicine,standard,0.74,30.0,40.7,36.3,0,1,1.2,51.09
260.04,2.09,0.15,0.31,0.13,4.69,10.11,hazmat,standard,0.59,23.4,7.5,5.7,0,0,1.4,50.23
229.35,2.19,0.44,0.8,0.42,2.59,8.65,medicine,low,0.78,25.2,29.3,25.3,0,0,1.2,55.24
312.63,1.19,0.04,0.83,0.18,0.34,4.66,luxury,high,0.64,33.7,2.3,2.0,0,1,1.0,8.93
60.23,1.7,0.18,0.61,0.31,12.12,2.0,hazmat,standard,0.93,29.9,13.6,8.4,0,0,1.4,15.51
49.85,1.46,0.78,0.75,0.19,2.08,2.36,hazmat,low,0.97,28.6,50.8,36.6,0,1,1.4,35.05
141.16,2.5,0.28,0.36,0.32,1.61,0.39,luxury,standard,0.87,25.9,18.5,10.8,1,0,1.0,28.34
66.67,1.72,0.17,0.73,0.11,2.0,5.63,general,high,0.75,26.1,12.2,6.3,0,0,1.0,12.21
159.19,1.64,0.82,0.78,0.34,10.65,2.28,perishable,high,0.86,29.0,45.1,39.5,0,0,1.2,31.64
100.3,1.88,0.24,0.95,0.41,12.09,2.12,general,high,0.81,26.3,12.5,10.1,1,1,1.0,17.7
39.47,2.03,0.11,0.18,0.72,9.28,1.99,general,low,0.94,29.2,8.4,4.0,0,2,1.0,14.38
183.71,1.43,0.14,0.86,0.38,3.56,0.93,perishable,high,0.84,27.6,10.9,8.3,0,1,1.2,14.09
264.34,1.88,0.12,0.25,0.42,1.64,8.38,general,standard,0.61,25.4,8.7,6.6,0,1,1.0,37.9
117.67,1.52,0.11,0.49,0.22,2.69,5.5,luxury,high,0.73,32.7,8.4,3.9,1,0,1.0,13.23
132.94,2.65,0.04,0.11,0.3,14.06,4.09,medicine,standard,0.88,26.7,2.8,2.1,0,0,1.2,41.35
156.96,1.4,0.45,0.96,0.44,2.19,12.5,general,high,0.72,25.4,29.8,25.6,1,1,1.0,24.26
161.69,1.38,0.06,0.97,0.33,0.64,6.66,general,standard,0.79,25.5,4.2,3.1,0,0,1.0,12.84
240.16,1.86,0.46,0.96,0.23,5.65,1.38,general,standard,0.88,33.5,33.2,21.1,0,1,1.0,38.19
148.03,1.57,0.28,0.18,0.18,4.19,6.08,luxury,high,0.79,29.2,15.3,11.2,0,0,1.0,14.76
310.1,1.77,0.68,0.38,0.57,2.09,3.14,luxury,high,0.94,30.1,51.0,30.3,0,2,1.0,36.75
195.85,2.17,0.56,0.46,0.27,0.22,1.78,medicine,standard,0.76,31.3,43.5,31.5,0,1,1.2,41.9
54.48,2.84,0.16,0.98,0.5,5.97,3.66,perishable,standard,0.75,25.2,10.9,6.3,1,0,1.2,30.99
104.14,1.47,0.11,0.81,0.26,8.19,5.13,hazmat,high,0.72,31.9,6.6,4.7,0,0,1.4,20.71
82.9,1.1,0.63,0.68,0.14,1.81,6.45,furniture,critical,0.88,33.1,35.4,34.9,0,0,1.0,2.91
316.44,1.57,0.41,0.45,0.04,8.25,9.21,medicine,critical,0.94,26.3,27.9,20.1,0,1,1.2,26.76
112.93,1.92,0.05,0.98,0.15,0.98,0.5,luxury,standard,0.86,32.5,2.6,1.9,0,1,1.0,17.31
